,Maximum,Mean,Median
0,4381.0,864.0,617.0
1,6401.0,1570.0,1215.0
2,8539.0,2244.0,1834.0
3,10277.0,2788.0,2320.0
4,11818.0,3145.0,2645.5
5,11686.0,3338.0,2830.0
6,12669.0,3453.0,2920.0
7,12514.0,3504.0,2969.5
8,12439.0,3524.0,2982.0
9,12269.0,3534.0,3000.0
