,Parameter value,Start year,End year,Step length,Optimisation length,Maximum PV size,Maximum storage size,Maximum diesel capacity,LCUE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet fraction,Renewables fraction,Storage fraction,Diesel fraction,Grid fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Kerosene displacement,Diesel fuel usage (l),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.1,0,10,10,10,28.0,145.0,0.0,0.242,419.798,0.099,0.076,0.369,0.631,0.0,0.0,286423.46,21719.192,105615.647,180807.813,0.0,0.0,235325.325,57027.34,57027.34,49434.53,0.0,7592.81,0.0,0.0,0.0,0.0,0.0,0.0,120240.0,120240.0,10650.0,0.0,0.0,0.0,0.0
1,0.01,0,10,10,10,47.0,170.0,0.0,0.305,608.78,0.01,0.006,0.361,0.639,0.0,0.0,307073.18,1975.681,110828.444,196244.737,0.0,0.0,251799.211,76913.31,76913.31,67852.53,0.0,9060.78,0.0,0.0,0.0,0.0,0.0,0.0,186940.0,186940.0,12850.0,0.0,0.0,0.0,0.0
