,Parameter value,Start year,End year,Step length,Optimisation length,Maximum PV size,Maximum storage size,Maximum diesel capacity,LCUE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet fraction,Renewables fraction,Storage fraction,Diesel fraction,Grid fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Kerosene displacement,Diesel fuel usage (l),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.1,0,10,5,10,21.0,120.0,0.0,0.321,529.634,0.0915,0.088,0.349,0.651,0.0,0.0,154512.683,13553.795999999998,53880.455,100632.22799999999,0.0,0.0,118012.287,37886.64,37886.64,31975.0,0.0,5911.639999999999,0.0,0.0,0.0,0.0,0.0,0.0,81835.11,81835.11,6850.0,0.0,0.0,0.0,0.0
1,0.01,0,10,5,10,34.0,150.0,0.0,0.404,752.734,0.0095,0.009,0.336,0.664,0.0,0.0,167140.91700000002,1527.092,56227.605,110913.312,0.0,0.0,127373.373,51402.4,51402.4,44597.369999999995,0.0,6805.03,0.0,0.0,0.0,0.0,0.0,0.0,125812.60999999999,125812.60999999999,8700.0,0.0,0.0,0.0,0.0
