,Parameter value,Start year,End year,Step length,Optimisation length,Maximum PV size,Maximum storage size,Maximum diesel capacity,LCUE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet fraction,Renewables fraction,Storage fraction,Diesel fraction,Grid fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Kerosene displacement,Diesel fuel usage (l),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.1,0,10,10,10,20.0,105.0,0.0,0.37,584.167,0.097,0.128,0.363,0.637,0.0,0.0,148666.195,19096.097,53901.417,94764.778,0.0,0.0,114359.505,42315.39,42315.39,35703.15,0.0,6612.24,0.0,0.0,0.0,0.0,0.0,0.0,86845.82,86845.82,8250.0,0.0,0.0,0.0,0.0
1,0.01,0,10,10,10,33.0,150.0,0.0,0.476,821.779,0.01,0.012,0.338,0.662,0.0,0.0,166645.607,1987.061,56353.652,110291.955,0.0,0.0,127083.499,60448.85,60448.85,52489.15,0.0,7959.7,0.0,0.0,0.0,0.0,0.0,0.0,136945.82,136945.82,11150.0,0.0,0.0,0.0,0.0
