,Maximum,Mean,Median
0,2846.0,593.0,365.0
1,3695.0,752.0,532.0
2,4994.0,1018.0,725.0
3,6752.0,1390.0,1040.0
4,8254.0,1801.0,1383.5
5,9516.0,2203.0,1744.0
6,10414.0,2562.0,2060.0
7,11530.0,2856.0,2344.5
8,11807.0,3091.0,2563.0
9,12454.0,3254.0,2705.0
